NAME	TITLE	SCORE	
XM_047162859	na	2.2095842	
XM_047172806	na	2.0848508	
XM_047178248	na	1.9558945	
XR_006986174	na	1.9264926	
XM_047170751	na	1.9000677	
XM_047170448	na	1.885221	
XM_047182024	na	1.7675346	
XM_047169400	na	1.7547543	
XM_047167138	na	1.7160914	
XM_047177421	na	1.7018194	
XM_047163726	na	1.678952	
XM_047170808	na	1.6728525	
XM_047169406	na	1.6355525	
XM_047179557	na	1.6351801	
XM_047183228	na	1.6113913	
XM_047168061	na	1.6112646	
XM_047182853	na	1.6011899	
XM_047172398	na	1.5965438	
XM_047174668	na	1.592818	
XM_047183012	na	1.5864407	
XM_047184560	na	1.583593	
XM_047186377	na	1.5598829	
XM_047166211	na	1.5377644	
XM_047173595	na	1.5237527	
XM_047179374	na	1.5134143	
XM_047168912	na	1.5040936	
XM_047164155	na	1.5027668	
XM_047176784	na	1.496611	
XM_047181751	na	1.47551	
XM_047178359	na	1.474094	
XM_047176086	na	1.4696814	
XM_047180254	na	1.4676042	
XM_047183578	na	1.4640009	
XM_047166788	na	1.4619728	
XR_006984863	na	1.4505125	
XM_047181984	na	1.4457589	
XM_047171372	na	1.4442952	
XM_047173425	na	1.4330823	
XM_047169819	na	1.4301785	
XM_047167854	na	1.4091989	
XM_047171804	na	1.4044158	
XM_047170531	na	1.4028187	
XM_047179724	na	1.4009314	
XM_047174600	na	1.3986912	
XM_047170340	na	1.3895189	
XM_047169529	na	1.3877869	
XM_047173295	na	1.3842134	
XM_047182477	na	1.3780918	
XM_047175926	na	1.3657906	
XM_047163239	na	1.3621788	
XM_047175618	na	1.3539954	
XM_047181671	na	1.3499216	
XM_047168177	na	1.3479091	
XM_047178961	na	1.3464426	
XM_047169121	na	1.3405932	
XM_047171911	na	1.3369709	
XM_047165518	na	1.3345853	
XM_047184593	na	1.3312443	
XM_047184347	na	1.3217357	
XM_047171583	na	1.3192401	
XM_047178467	na	1.3173442	
XM_047183802	na	1.3173091	
XM_047183011	na	1.316662	
XM_047172828	na	1.3089898	
XM_047178902	na	1.3062426	
XM_047168942	na	1.3039994	
XM_047165489	na	1.3037437	
XM_047164354	na	1.2904431	
XM_047169907	na	1.2765591	
XM_047174481	na	1.274679	
XM_047176993	na	1.2699565	
XM_047170858	na	1.269891	
XM_047180272	na	1.2664659	
XM_047165797	na	1.266373	
XM_047164769	na	1.2617687	
XM_047179751	na	1.2568036	
XM_047164531	na	1.250185	
XM_047186184	na	1.2472266	
XM_047165039	na	1.2382559	
XM_047170252	na	1.2368807	
XM_047164493	na	1.2367467	
XM_047165135	na	1.2327507	
XM_047181880	na	1.231927	
XM_047182670	na	1.2275745	
XM_047170748	na	1.227181	
XM_047169784	na	1.2258443	
XM_047164080	na	1.2251911	
XM_047164770	na	1.2245053	
XM_047163877	na	1.2218308	
XM_047185661	na	1.2205644	
XM_047175742	na	1.2196947	
XM_047166505	na	1.2171733	
XM_047178768	na	1.2142465	
XM_047176615	na	1.2142326	
XM_047173219	na	1.2141911	
XM_047172346	na	1.2136159	
XM_047166023	na	1.2134871	
XM_047184798	na	1.2106022	
XM_047179961	na	1.2047936	
XM_047166526	na	1.2043351	
XM_047175840	na	1.2034432	
XM_047183334	na	1.2025145	
XM_047175627	na	1.1994581	
XM_047185465	na	1.1973804	
XM_047182610	na	1.1967095	
XM_047178530	na	1.1952826	
XM_047186307	na	1.194574	
XM_047177343	na	1.193307	
XM_047183585	na	1.191631	
XM_047184681	na	1.1901331	
XM_047165116	na	1.1872749	
XM_047171152	na	1.186816	
XM_047174961	na	1.1864439	
XM_047184889	na	1.184749	
XM_047172452	na	1.1835648	
XM_047168182	na	1.183483	
XM_047184210	na	1.1807594	
XM_047165080	na	1.1784593	
XM_047167921	na	1.1765965	
XM_047165843	na	1.1765742	
XM_047162972	na	1.1756529	
XM_047179866	na	1.1751626	
