NAME	TITLE	SCORE	
XM_047183396	na	2.372607	
XR_006985192	na	2.056543	
XM_047164716	na	1.9164716	
XR_006986207	na	1.8165919	
XR_006985083	na	1.4190319	
XM_047170808	na	1.3381419	
XM_047167380	na	1.334478	
XM_047177732	na	1.2859157	
XM_047171308	na	1.2750249	
XM_047184885	na	1.2737647	
XM_047172878	na	1.2699817	
XM_047185010	na	1.234712	
XM_047165892	na	1.2112378	
XM_047179278	na	1.1887679	
XR_006985334	na	1.1826885	
XR_006984298	na	1.1756328	
XM_047179520	na	1.1737981	
XM_047162850	na	1.1718863	
XM_047170748	na	1.146751	
XM_047178399	na	1.1427077	
XM_047184419	na	1.1307755	
XM_047175938	na	1.1219451	
XM_047183960	na	1.1087606	
XR_006985082	na	1.1051646	
XM_047166423	na	1.1008177	
XM_047179321	na	1.1008153	
XM_047172049	na	1.1004426	
XM_047183376	na	1.0926063	
XM_047169209	na	1.0916297	
XR_006985609	na	1.0816027	
XM_047179094	na	1.0812615	
XM_047185539	na	1.0694716	
XM_047185343	na	1.0555037	
XM_047171171	na	1.0538301	
XM_047175225	na	1.0505694	
XM_047178191	na	1.0479195	
XM_047183954	na	1.0436813	
XM_047166505	na	1.0433613	
XM_047179065	na	1.0395933	
XM_047164820	na	1.0379063	
XM_047183409	na	1.0247	
XM_047183979	na	1.0223237	
XM_047176548	na	1.0164151	
XM_047165158	na	1.012449	
XM_047164321	na	1.0067881	
XM_047169215	na	1.0029436	
XM_047172306	na	1.0005844	
XM_047173685	na	1.0005579	
XM_047174866	na	0.9950167	
XM_047171985	na	0.99062663	
XR_006985435	na	0.9892223	
XM_047178268	na	0.9787735	
XM_047184658	na	0.9782434	
XM_047163999	na	0.97804713	
XM_047185319	na	0.97804713	
XR_006986103	na	0.97518283	
XM_047172052	na	0.97269946	
XM_047179222	na	0.9722024	
XM_047168417	na	0.9719281	
XM_047172400	na	0.97114706	
XM_047183451	na	0.96994704	
XM_047173147	na	0.96703285	
XM_047167622	na	0.96531487	
XM_047165982	na	0.95850223	
XM_047174435	na	0.95850223	
XM_047170377	na	0.9530126	
XM_047167880	na	0.9515286	
XM_047172555	na	0.9487781	
XM_047183000	na	0.9479639	
XM_047182848	na	0.94528776	
XM_047165314	na	0.9398155	
XM_047181908	na	0.93881434	
XM_047169615	na	0.93717283	
XM_047171847	na	0.93717283	
XM_047177305	na	0.93717283	
XM_047185207	na	0.93717283	
XM_047175552	na	0.93611145	
XR_006985642	na	0.9351012	
XM_047176250	na	0.93285906	
XM_047171950	na	0.93226105	
XM_047166833	na	0.93019986	
XM_047167560	na	0.9297733	
XM_047164355	na	0.9294158	
XM_047166701	na	0.9293676	
XM_047175016	na	0.92622423	
XM_047175751	na	0.9184041	
XM_047172855	na	0.9130184	
XM_047177668	na	0.9075799	
XM_047184170	na	0.90518636	
XM_047171712	na	0.9048646	
XM_047174476	na	0.8976515	
XM_047177251	na	0.8951973	
XM_047182243	na	0.88478714	
XM_047184107	na	0.87934935	
XM_047181831	na	0.8790096	
XM_047185998	na	0.87540674	
XM_047175525	na	0.8739912	
XM_047170387	na	0.871801	
XM_047177445	na	0.8706722	
XM_047167965	na	0.86732745	
XR_006985900	na	0.86392266	
XR_006984475	na	0.86237663	
XM_047182842	na	0.8598637	
XM_047168519	na	0.85467863	
