#1.2	
15744	8
XM_047163367.1	na
XM_047163369.1	na
XM_047163370.1	na
XM_047163374.1	na
XM_047163376.1	na
XM_047163377.1	na
XM_047163378.1	na
XM_047163384.1	na
XM_047163385.1	na
XM_047163387.1	na
XM_047163391.1	na
XM_047163392.1	na
XM_047163393.1	na
XM_047163395.1	na
XM_047163396.1	na
XM_047163397.1	na
XM_047163403.1	na
XM_047163404.1	na
XM_047163405.1	na
XM_047163408.1	na
XM_047163410.1	na
XM_047163411.1	na
XM_047163412.1	na
XM_047163413.1	na
XM_047163414.1	na
XM_047163417.1	na
XM_047163420.1	na
XM_047163421.1	na
XM_047163422.1	na
XM_047163423.1	na
XM_047163426.1	na
XM_047163430.1	na
XM_047163431.1	na
XM_047163432.1	na
XM_047163434.1	na
XM_047163443.1	na
XM_047163449.1	na
XM_047163451.1	na
XM_047163453.1	na
XM_047163454.1	na
XM_047163455.1	na
XM_047163461.1	na
XM_047163462.1	na
XM_047163465.1	na
XM_047163473.1	na
XM_047163489.1	na
XM_047163501.1	na
XM_047163502.1	na
XM_047163505.1	na
XM_047163506.1	na
XM_047163507.1	na
XM_047163508.1	na
XM_047163509.1	na
XM_047163510.1	na
XM_047163511.1	na
XM_047163512.1	na
XM_047163515.1	na
XM_047163516.1	na
XM_047163517.1	na
XM_047163521.1	na
XM_047163522.1	na
XM_047163528.1	na
XM_047163529.1	na
XM_047163530.1	na
XM_047163531.1	na
XM_047163532.1	na
XM_047163533.1	na
XM_047163536.1	na
XM_047163537.1	na
XM_047163538.1	na
XM_047163539.1	na
XM_047163540.1	na
XM_047163541.1	na
XM_047163542.1	na
XM_047163543.1	na
XM_047163546.1	na
XM_047163547.1	na
XM_047163548.1	na
XM_047163551.1	na
XM_047163552.1	na
XM_047163553.1	na
XM_047163559.1	na
XM_047163560.1	na
XM_047163561.1	na
XM_047163562.1	na
XM_047163563.1	na
XM_047163564.1	na
XM_047163565.1	na
XM_047163566.1	na
XM_047163567.1	na
XM_047163568.1	na
XM_047163569.1	na
XM_047163571.1	na
XM_047163574.1	na
XM_047163578.1	na
XM_047163579.1	na
XM_047163580.1	na
XM_047163581.1	na
XM_047163582.1	na
XM_047163583.1	na
XM_047163584.1	na
XM_047163591.1	na
XM_047163592.1	na
XM_047163593.1	na
XM_047163594.1	na
XM_047163595.1	na
XM_047163598.1	na
XM_047163599.1	na
XM_047163600.1	na
XM_047163601.1	na
XM_047163604.1	na
XM_047163606.1	na
XM_047163607.1	na
XM_047163608.1	na
XM_047163609.1	na
XM_047163610.1	na
XM_047163611.1	na
XM_047163617.1	na
XM_047163618.1	na
XM_047163619.1	na
XM_047163620.1	na
XM_047163621.1	na
XM_047163622.1	na
XM_047163624.1	na
XM_047163625.1	na
XM_047163626.1	na
XM_047163627.1	na
XM_047163628.1	na
XM_047163629.1	na
XM_047163632.1	na
XM_047163633.1	na
XM_047163634.1	na
XM_047163635.1	na
XM_047163636.1	na
XM_047163637.1	na
XM_047163638.1	na
XM_047163639.1	na
XM_047163640.1	na
XM_047163641.1	na
XM_047163642.1	na
XM_047163643.1	na
XM_047163644.1	na
XM_047163645.1	na
XM_047163647.1	na
XM_047163648.1	na
XM_047163649.1	na
XM_047163650.1	na
XM_047163651.1	na
XM_047163652.1	na
XM_047163653.1	na
XM_047163656.1	na
XM_047163657.1	na
XM_047163660.1	na
XM_047163661.1	na
XM_047163663.1	na
XM_047163664.1	na
XM_047163665.1	na
XM_047163666.1	na
XM_047163672.1	na
XM_047163673.1	na
XM_047163674.1	na
XM_047163675.1	na
XM_047163679.1	na
XM_047163683.1	na
XM_047163685.1	na
XM_047163686.1	na
XM_047163692.1	na
XM_047163693.1	na
XM_047163694.1	na
XM_047163695.1	na
XM_047163697.1	na
XM_047163699.1	na
XM_047163700.1	na
XM_047163703.1	na
XM_047163706.1	na
XM_047163707.1	na
XM_047163708.1	na
XM_047163709.1	na
XM_047163710.1	na
XM_047163711.1	na
XM_047163712.1	na
XM_047163713.1	na
XM_047163714.1	na
XM_047163715.1	na
XM_047163716.1	na
XM_047163717.1	na
XM_047163718.1	na
XM_047163719.1	na
XM_047163720.1	na
XM_047163721.1	na
XM_047163722.1	na
XM_047163723.1	na
XM_047163725.1	na
XM_047163726.1	na
XM_047163727.1	na
XM_047163729.1	na
XM_047163730.1	na
XM_047163731.1	na
XM_047163733.1	na
XM_047163734.1	na
XM_047163735.1	na
XM_047163736.1	na
XM_047163737.1	na
XM_047163738.1	na
XM_047163739.1	na
XM_047163741.1	na
XM_047163742.1	na
XM_047163743.1	na
XM_047163746.1	na
XM_047163747.1	na
XM_047163748.1	na
XM_047163749.1	na
XM_047163750.1	na
XM_047163751.1	na
XM_047163756.1	na
XM_047163757.1	na
XM_047163761.1	na
XM_047163762.1	na
XM_047163765.1	na
XM_047163766.1	na
XM_047163768.1	na
XM_047163770.1	na
XM_047163773.1	na
XM_047163775.1	na
XM_047163779.1	na
XM_047163780.1	na
XM_047163781.1	na
XM_047163782.1	na
XM_047163784.1	na
XM_047163785.1	na
XM_047163786.1	na
XM_047163787.1	na
XM_047163788.1	na
XM_047163789.1	na
XM_047163791.1	na
XM_047163792.1	na
XM_047163794.1	na
XM_047163795.1	na
XM_047163796.1	na
XM_047163797.1	na
XM_047163799.1	na
XM_047163800.1	na
XM_047163801.1	na
XM_047163803.1	na
XM_047163807.1	na
XM_047163808.1	na
XM_047163814.1	na
XM_047163815.1	na
XM_047163816.1	na
XM_047163817.1	na
XM_047163818.1	na
XM_047163819.1	na
XM_047163820.1	na
XM_047163822.1	na
XM_047163823.1	na
XM_047163824.1	na
XM_047163825.1	na
XM_047163826.1	na
XM_047163827.1	na
XM_047163828.1	na
XM_047163830.1	na
XM_047163831.1	na
XM_047163836.1	na
XM_047163837.1	na
XM_047163839.1	na
XM_047163840.1	na
