transcript_ID,gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,test
XM_047162834.1,124646352,11396.06943,0.382030499,0.474010121,0.805954308,0.420269195,0.81700045,FALSE
XM_047162835.1,124646377,0,NA,NA,NA,NA,NA,NA
XM_047162836.1,124629430,0.115091291,0,6.918216648,0,1,NA,FALSE
XM_047162837.1,124629431,348.177138,-0.250958552,0.472145967,-0.531527473,0.595053309,0.896964567,FALSE
XM_047162838.1,124629429,59.59518534,-1.142886909,0.595698806,-1.918565048,0.055039402,0.323018133,FALSE
XM_047162839.1,124629432,672.6054641,-0.393195968,0.304154027,-1.292752791,0.196096573,0.632277607,FALSE
XM_047162840.1,124629432,0.121051862,-2.277970529,6.892824417,-0.33048434,0.741034023,NA,NA
XM_047162841.1,124629433,21.1599507,-2.965879824,1.062055955,-2.792583395,0.005228899,0.055311416,FALSE
XM_047162848.1,124629436,0.871029152,-0.823408388,2.949510178,-0.279167841,0.780116022,0.95552327,FALSE
XM_047162849.1,124629435,29.55729066,-6.467330898,1.591561683,-4.063512565,4.83E-05,0.00225716,TRUE
XM_047162850.1,124629449,0.48343279,1.000743955,1.757934477,0.569272614,0.569171149,NA,FALSE
XM_047162851.1,124629465,22.15241557,-1.291659485,0.959338585,-1.346406269,0.17817153,0.606422538,FALSE
XM_047162852.1,124629482,213.7099926,-0.01077817,0.238483926,-0.045194534,0.963952251,0.995436385,FALSE
XM_047162853.1,124629483,3.432488481,-2.16189391,1.030898107,-2.097097565,0.035984939,0.244220063,FALSE
XM_047162855.1,124629484,0.663066885,-1.321384505,1.746526313,-0.756578641,0.449302341,0.833420924,FALSE
XM_047162856.1,124629481,131.8658839,-0.255313494,0.444206414,-0.574763186,0.565451468,0.880616097,FALSE
XM_047162859.1,124629485,0.590610819,-0.46891731,2.326611936,-0.201545132,0.840272343,NA,FALSE
XM_047162860.1,124629485,2.059330977,0.899520654,1.331224115,0.675709405,0.499225164,0.856070241,FALSE
XM_047162863.1,124629485,0.123140667,0,6.918216361,0,1,NA,FALSE
XM_047162864.1,124629485,180.4997555,0.094880892,0.502528675,0.188806922,0.850244147,0.971178054,FALSE
XM_047162865.1,124629486,9073.790989,0.273846424,0.248458128,1.1021834,0.270381947,0.718509763,FALSE
XM_047162866.1,124629488,4360.727096,0.452185863,0.243373102,1.85799441,0.063169808,0.351877565,FALSE
XM_047162867.1,124629489,1.890883772,-0.367353968,1.008963812,-0.36409033,0.715790557,0.936229204,FALSE
XM_047162868.1,124629489,1.704011031,-3.488907319,1.494448111,-2.334579094,0.01956542,0.155330179,FALSE
XM_047162869.1,124629487,86.47570444,-0.789760881,0.285955603,-2.761830414,0.005747832,0.059482538,FALSE
XM_047162870.1,124629490,0.167222091,0,6.736977379,0,1,NA,FALSE
XM_047162872.1,124629492,7609.572145,0.139041043,0.110001176,1.263995973,0.206231472,0.643756879,FALSE
XM_047162877.1,124629494,574.0739007,-0.152771595,0.635818759,-0.240275382,0.810116779,0.962079754,FALSE
XM_047162881.1,124629496,0.542203362,-1.787078148,1.984743235,-0.900407729,0.367903309,NA,NA
XM_047162882.1,124629495,394.7558398,-0.363477303,0.222832012,-1.631171841,0.102854065,0.464261691,FALSE
XM_047162884.1,124629496,0.990758859,-1.677759223,1.85855764,-0.902721114,0.366673928,0.790318443,FALSE
XM_047162885.1,124629497,359.3282643,-0.189154347,0.186784222,-1.012689106,0.311208683,0.751666003,FALSE
XM_047162886.1,124629498,5057.573046,0.646690261,0.638947133,1.012118574,0.311481363,0.751666003,FALSE
XM_047162887.1,124629500,48.51381932,0.122266386,0.37876284,0.322804596,0.746843232,0.944352767,FALSE
XM_047162889.1,124629501,385.8361673,0.111523355,0.381558227,0.292283974,0.770069511,0.951780281,FALSE
XM_047162892.1,124629502,122.4084322,-0.526538801,0.91142487,-0.577709494,0.563460268,0.879920104,FALSE
XM_047162897.1,124629504,0,NA,NA,NA,NA,NA,NA
XM_047162899.1,124629504,0,NA,NA,NA,NA,NA,NA
XM_047162904.1,124629508,305.8765852,0.370457951,0.158599806,2.335803306,0.019501495,0.155145229,FALSE
XM_047162905.1,124629509,1381.079734,0.72951285,0.71526468,1.019920136,0.307766339,0.748954947,FALSE
XM_047162906.1,124629506,360.4300583,-0.431202195,0.248071602,-1.738216677,0.082172642,0.412158399,FALSE
XM_047162907.1,124629510,248.1372042,0.066908186,0.358239868,0.186769234,0.85184157,0.971594686,FALSE
XM_047162908.1,124629511,0.02266787,0,6.918216654,0,1,NA,FALSE
XM_047162910.1,124629512,8428.375834,-0.323537588,0.579682919,-0.558128552,0.576756605,0.887648359,FALSE
XM_047162911.1,124629513,206.4353709,-0.087380073,0.199412894,-0.438186673,0.661250969,0.918129906,FALSE
XM_047162912.1,124629515,31.15811414,-0.360913533,0.394684495,-0.91443555,0.360488029,0.785630293,FALSE
XM_047162913.1,124629516,133.1960235,-0.157911686,0.477164193,-0.330937836,0.740691441,0.943568876,FALSE
XM_047162914.1,124629517,1057.805802,0.458608767,0.247177173,1.855384791,0.063541298,0.353192191,FALSE
XM_047162915.1,124629514,258.6730457,-0.139725958,0.142100155,-0.983292083,0.325463706,0.76101593,FALSE
XM_047162916.1,124629518,0.27949165,0,4.440787351,0,1,NA,FALSE
XM_047162918.1,124629519,1.46203434,0.675261514,0.931278198,0.72509108,0.468396156,0.845323935,FALSE
XM_047162920.1,124629519,12.6481875,0.977299069,0.537382317,1.818629006,0.068968049,0.371461201,FALSE
XM_047162921.1,124629519,0.15112738,-2.214398352,6.894223047,-0.321196216,0.7480617,NA,NA
XM_047162922.1,124629520,426.8890442,-0.781079761,0.342926321,-2.277689731,0.02274507,0.173134566,FALSE
XM_047162924.1,124629499,148.7246866,-0.271049773,1.517929638,-0.178565439,0.858278934,0.971660729,FALSE
XM_047162930.1,124629523,24.75406395,-4.294200598,1.377019083,-3.118475737,0.001817891,0.023719545,TRUE
XM_047162934.1,124629524,0.16421582,-0.624705699,6.698428477,-0.093261532,0.925695792,NA,FALSE
XM_047162935.1,124629524,0.078019373,0,6.918216654,0,1,NA,FALSE
XM_047162936.1,124629525,109.0190475,-0.357836499,0.181997382,-1.966162895,0.049279797,0.298229982,FALSE
XM_047162942.1,124629527,0,NA,NA,NA,NA,NA,NA
XM_047162943.1,124629528,0.177598691,-0.473095538,6.695140593,-0.070662525,0.943666347,NA,FALSE
XM_047162950.1,124629529,8.7753815,-8.492011925,2.026301201,-4.190893201,2.78E-05,0.001768415,TRUE
XM_047162951.1,124629531,2499.496731,-0.061360682,0.69909247,-0.08777191,0.930057964,0.989922401,FALSE
XM_047162952.1,124629532,2436.883259,-0.360475205,0.285579495,-1.262258709,0.206855709,0.644748141,FALSE
XM_047162953.1,124629533,0.847759592,-1.310916142,4.006753597,-0.327176631,0.743534295,0.943568876,FALSE
XM_047162958.1,124629536,0.052522061,0,6.918216673,0,1,NA,FALSE
XM_047162959.1,124629536,0.333592624,-1.026351828,5.250327069,-0.195483408,0.845014526,NA,FALSE
XM_047162960.1,124629537,0,NA,NA,NA,NA,NA,NA
XM_047162965.1,124629540,0,NA,NA,NA,NA,NA,NA
XM_047162967.1,124629541,0.016070617,0,6.918216654,0,1,NA,FALSE
XM_047162968.1,124629539,88.68741589,0.285885777,0.520796544,0.548939466,0.583046993,0.890999719,FALSE
XM_047162969.1,124629541,0.036849748,0,6.918216673,0,1,NA,FALSE
XM_047162970.1,124629542,204.2023054,0.088068672,0.237995856,0.37004288,0.711350541,0.935081101,FALSE
XM_047162972.1,124629544,111.8092626,-0.00073571,0.387243704,-0.001899863,0.99848413,1,FALSE
XM_047162975.1,124629547,60.11352418,-0.077681554,0.285639616,-0.271956512,0.785655457,0.958080882,FALSE
XM_047162976.1,124629548,115.6932869,0.504967534,0.289083511,1.746787747,0.080674163,0.406836316,FALSE
XM_047162978.1,124629548,0.01223418,0,6.918216654,0,1,NA,FALSE
XM_047162979.1,124629548,0.036058028,0,6.918216648,0,1,NA,FALSE
XM_047162981.1,124629549,0,NA,NA,NA,NA,NA,NA
XM_047162982.1,124629549,0.043946259,0,6.918216385,0,1,NA,FALSE
XM_047162985.1,124629550,1.324678684,-1.176154828,1.373494332,-0.85632303,0.391819126,0.801604712,FALSE
XM_047162990.1,124629551,0.022888824,0,6.918216654,0,1,NA,FALSE
XM_047162992.1,124629551,11.75222424,-0.04901116,0.573274034,-0.085493424,0.931869123,0.989922401,FALSE
XM_047162995.1,124629552,1628.878411,-0.059943612,0.252266797,-0.237619902,0.812175913,0.96221126,FALSE
XM_047162996.1,124629553,121.379531,-0.260620214,0.233207741,-1.117545297,0.263761243,0.712484981,FALSE
XM_047162997.1,124629553,15.6965977,1.383326239,0.5951676,2.324263347,0.020111384,0.15780549,FALSE
XM_047162998.1,124629557,0.666968619,-0.370315935,2.050450566,-0.180602225,0.856679809,0.971660729,FALSE
XM_047163000.1,124629558,0.105952486,0.637536375,6.900832907,0.092385424,0.92639182,NA,FALSE
XM_047163004.1,124629561,19.30956485,-1.103920623,0.551952879,-2.000026932,0.045497356,0.282982446,FALSE
XM_047163005.1,124629561,0.565526593,-1.622272577,1.600906552,-1.013346203,0.310894826,NA,NA
XM_047163008.1,124629563,16.09449293,-1.244057997,0.663145004,-1.875996937,0.060655701,0.343146521,FALSE
XM_047163009.1,124629566,85.06900899,-0.198596343,0.655375413,-0.303026844,0.761869404,0.95016518,FALSE
XM_047163010.1,124629567,0.937307059,-0.284767224,1.597418233,-0.178267167,0.858513162,0.971660729,FALSE
XM_047163011.1,124629568,553.0921702,-0.700366753,0.762563806,-0.918436919,0.35839017,0.784420168,FALSE
