transcript_ID,gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,test
XM_047162834.1,124646352,12104.43674,0.703559942,0.469079103,1.499874834,0.133646828,0.470974357,FALSE
XM_047162837.1,124629431,372.1284426,0.835469912,0.472754137,1.767239768,0.077188082,0.372639462,FALSE
XM_047162838.1,124629429,63.56616094,0.825340468,0.581025202,1.420489965,0.155465088,0.504254892,FALSE
XM_047162839.1,124629432,717.1068842,0.546708443,0.299893599,1.823008039,0.068302173,0.355857442,FALSE
XM_047162841.1,124629433,22.59819976,0.249128383,1.029623465,0.24196067,0.808810639,0.96837245,FALSE
XM_047162849.1,124629435,31.73181655,-0.198024178,1.513838503,-0.130809315,0.895926154,0.981303178,FALSE
XM_047162851.1,124629465,23.6438594,0.105821972,0.938096699,0.112804972,0.910185176,0.982588153,FALSE
XM_047162852.1,124629482,227.6894662,0.472824339,0.229968186,2.056042397,0.03977843,0.284064462,FALSE
XM_047162853.1,124629483,3.651384839,1.765870769,1.065175835,1.657820907,0.09735362,0.410092758,FALSE
XM_047162856.1,124629481,140.9352452,0.419596229,0.438161184,0.95762985,0.338249442,0.704171335,FALSE
XM_047162860.1,124629485,2.204377669,0.623668111,1.245670596,0.500668566,0.616604399,0.895282805,FALSE
XM_047162864.1,124629485,192.8504275,-0.135007189,0.495963272,-0.27221207,0.785458962,0.960909945,FALSE
XM_047162865.1,124629486,9672.639815,-0.202619053,0.246429301,-0.822219811,0.410951805,0.759751809,FALSE
XM_047162866.1,124629488,4650.981491,-0.383951381,0.239969581,-1.600000212,0.109598536,0.433706115,FALSE
XM_047162869.1,124629487,92.2352833,-0.075915513,0.272690197,-0.278394727,0.780709367,0.960464666,FALSE
XM_047162872.1,124629492,8116.596721,-0.063806276,0.111793711,-0.57075014,0.568169025,0.866970501,FALSE
XM_047162877.1,124629494,611.7776525,0.791713362,0.632629902,1.251463707,0.210765347,0.579396459,FALSE
XM_047162882.1,124629495,420.9654861,0.194979942,0.219817172,0.887009601,0.375073732,0.732999567,FALSE
XM_047162885.1,124629497,383.5659309,0.048789206,0.184875464,0.263903092,0.791854593,0.963568529,FALSE
XM_047162886.1,124629498,5376.405091,0.326083111,0.635082287,0.513450175,0.607636456,0.891163822,FALSE
XM_047162887.1,124629500,51.66806414,0.272156856,0.35974804,0.756520748,0.449337038,0.790786982,FALSE
XM_047162889.1,124629501,410.9295663,-0.225038215,0.372816044,-0.603617303,0.546098106,0.852520744,FALSE
XM_047162892.1,124629502,130.4871617,0.046898663,0.885330482,0.052973058,0.957753374,0.994093739,FALSE
XM_047162904.1,124629508,326.5077255,-0.47329353,0.153777722,-3.077776957,0.002085509,0.07844724,FALSE
XM_047162905.1,124629509,1463.976668,0.912065714,0.708344024,1.287602751,0.197884281,0.563053877,FALSE
XM_047162906.1,124629506,384.5048322,0.07706514,0.240139424,0.320918319,0.748272291,0.950637201,FALSE
XM_047162907.1,124629510,264.9761371,-0.481118872,0.352956688,-1.363110227,0.172847774,0.532705219,FALSE
XM_047162910.1,124629512,8980.376875,0.166496029,0.574725305,0.289696709,0.772048275,0.95739211,FALSE
XM_047162911.1,124629513,220.2487716,-0.06000277,0.197792367,-0.303362414,0.761613686,0.955069844,FALSE
XM_047162912.1,124629515,33.26569759,-0.68764915,0.385443394,-1.78404705,0.07441602,0.367315638,FALSE
XM_047162913.1,124629516,142.3638551,0.39550066,0.471627074,0.838587693,0.401700719,0.752149628,FALSE
XM_047162914.1,124629517,1128.348028,-0.209148434,0.241043468,-0.867679329,0.385569905,0.740191345,FALSE
XM_047162915.1,124629514,275.8700443,0.278525548,0.139740779,1.99315869,0.046244073,0.301136437,FALSE
XM_047162920.1,124629519,13.46434471,0.493521948,0.508858218,0.969861408,0.332115579,0.698921482,FALSE
XM_047162922.1,124629520,453.9911289,0.333241284,0.332468804,1.002323467,0.316187392,0.684597689,FALSE
XM_047162924.1,124629499,158.4464336,-2.802108388,1.520043366,-1.843439767,0.065264828,0.348339149,FALSE
XM_047162930.1,124629523,26.50246939,-0.068020076,1.337741499,-0.050846951,0.959447478,0.994907215,FALSE
XM_047162936.1,124629525,116.2553332,0.092342603,0.18326631,0.503871133,0.614351937,0.893931162,FALSE
XM_047162950.1,124629529,9.429248394,-0.085292197,1.779017458,-0.047943429,0.961761328,0.995185766,FALSE
XM_047162951.1,124629531,2668.163299,-1.23128333,0.699914698,-1.75919056,0.078545147,0.375144745,FALSE
XM_047162952.1,124629532,2598.926273,-0.166123807,0.286006495,-0.58083928,0.561348779,0.862836024,FALSE
XM_047162968.1,124629539,94.38755536,0.032617613,0.496888876,0.065643678,0.947661514,0.993060521,FALSE
XM_047162970.1,124629542,217.687444,-0.353836536,0.225220911,-1.571064312,0.116167711,0.444789793,FALSE
XM_047162972.1,124629544,118.7093991,0.675022286,0.363128868,1.858905597,0.063040521,0.343976145,FALSE
XM_047162975.1,124629547,63.97668974,0.230617629,0.272572467,0.846078227,0.397509106,0.749024463,FALSE
XM_047162976.1,124629548,123.4513512,-0.431051801,0.270583537,-1.593045183,0.111150055,0.436335581,FALSE
XM_047162992.1,124629551,12.46641628,0.257008499,0.542528046,0.473723895,0.635696811,0.901901601,FALSE
XM_047162995.1,124629552,1737.31576,-0.801744034,0.247559222,-3.238594898,0.001201201,0.061985569,FALSE
XM_047162996.1,124629553,129.2855535,0.451969114,0.218076882,2.072521906,0.038216796,0.278925567,FALSE
XM_047162997.1,124629553,16.79042897,-1.168287307,0.519128288,-2.250478996,0.024418555,0.235449902,FALSE
XM_047163004.1,124629561,20.49987541,0.710518787,0.575652068,1.234285128,0.217096676,0.584722694,FALSE
XM_047163008.1,124629563,17.14251556,0.973507191,0.619017678,1.572664602,0.1157965,0.444152712,FALSE
XM_047163009.1,124629566,90.49868535,0.522952713,0.633349674,0.825693506,0.408977977,0.757948898,FALSE
XM_047163011.1,124629568,588.5514404,0.045034805,0.763147798,0.059011905,0.952942626,0.993557406,FALSE
XM_047163012.1,124629565,36.60383643,-0.362801267,1.32591351,-0.273623629,0.784373873,0.960464666,FALSE
XM_047163013.1,124629569,493.7585874,0.648494044,0.560530129,1.156929859,0.247301018,0.616345589,FALSE
XM_047163034.1,124629571,219.2924403,-0.118932257,0.404828303,-0.293784443,0.768922624,0.957327722,FALSE
XM_047163039.1,124629574,52.63074085,-4.682312486,1.954591447,-2.395545367,0.01659566,0.201205238,FALSE
XM_047163048.1,124629576,16.06139815,-0.931065648,0.471792243,-1.973465361,0.048442567,0.309110242,FALSE
