transcript_ID,gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,test
XM_047162834.1,124646352,11396.06943,1.191097907,0.473786213,2.513998666,0.011937089,0.16923166,FALSE
XM_047162835.1,124646377,0,NA,NA,NA,NA,NA,NA
XM_047162836.1,124629430,0.115091291,-1.357923927,6.91843613,-0.196276138,0.844394037,NA,FALSE
XM_047162837.1,124629431,348.177138,-0.002941117,0.466526169,-0.006304291,0.994969937,0.999917893,FALSE
XM_047162838.1,124629429,59.59518534,0.227223092,0.582821783,0.389867192,0.696634755,0.946341171,FALSE
XM_047162839.1,124629432,672.6054641,0.162290919,0.298930186,0.542905757,0.587194692,0.903041502,FALSE
XM_047162840.1,124629432,0.121051862,0,6.91875675,0,1,NA,FALSE
XM_047162841.1,124629433,21.1599507,0.843799686,1.023658915,0.824297697,0.409770427,0.787962254,FALSE
XM_047162848.1,124629436,0.871029152,-2.211144613,3.07244626,-0.719669093,0.47172876,NA,NA
XM_047162849.1,124629435,29.55729066,-0.644709467,1.513390251,-0.426003449,0.670105333,0.938232181,FALSE
XM_047162850.1,124629449,0.48343279,0.576283546,2.012850178,0.286302255,0.774646631,NA,FALSE
XM_047162851.1,124629465,22.15241557,1.078509296,0.928171892,1.161971511,0.245247037,0.633105524,FALSE
XM_047162852.1,124629482,213.7099926,0.625309019,0.229838348,2.720647029,0.006515429,0.137130428,FALSE
XM_047162853.1,124629483,3.432488481,2.015978911,1.054472079,1.911837166,0.055897083,NA,NA
XM_047162855.1,124629484,0.663066885,-0.069646101,1.985454537,-0.035078165,0.972017413,NA,FALSE
XM_047162856.1,124629481,131.8658839,-0.001546903,0.432588386,-0.003575924,0.997146831,1,FALSE
XM_047162859.1,124629485,0.590610819,3.48316255,2.157336558,1.614566136,0.106404684,NA,NA
XM_047162860.1,124629485,2.059330977,0.340387101,1.25860586,0.270447732,0.786815823,NA,FALSE
XM_047162863.1,124629485,0.123140667,0.800768308,6.91875675,0.115738757,0.907859589,NA,FALSE
XM_047162864.1,124629485,180.4997555,-0.026583137,0.491222174,-0.054116321,0.956842489,0.99086977,FALSE
XM_047162865.1,124629486,9073.790989,-0.160908038,0.247716731,-0.649564675,0.515973457,0.861819188,FALSE
XM_047162866.1,124629488,4360.727096,-0.32328912,0.241667372,-1.33774418,0.180979844,0.55738858,FALSE
XM_047162867.1,124629489,1.890883772,1.701541052,1.236948402,1.37559582,0.168946801,NA,NA
XM_047162868.1,124629489,1.704011031,1.583759887,1.282556408,1.234846184,0.216887755,NA,NA
XM_047162869.1,124629487,86.47570444,0.078552501,0.269323928,0.291665512,0.77054238,0.961303914,FALSE
