transcript_id,gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,test
XM_047162892.1,124629502,122.4084322,3.086419486,0.875375047,3.525825299,0.000422165,0.018814987,TRUE
XM_047163039.1,124629574,49.2507158,-9.502146402,2.024181506,-4.694315394,2.68E-06,0.000327841,TRUE
XM_047163099.1,124629612,9.630892762,27.0014371,6.844083819,3.94522303,7.97E-05,0.005287018,TRUE
XM_047163130.1,124629637,58.66067491,3.26699376,0.869514984,3.757259875,0.000171784,0.009138535,TRUE
XM_047163174.1,124629661,8.207408407,-18.91497203,2.720084013,-6.953819049,3.56E-12,1.64E-09,TRUE
XM_047163297.1,124629765,24.78161006,-6.784447636,1.969418895,-3.444898215,0.000571274,0.024048171,TRUE
XM_047163543.1,124629887,5.302253917,27.75221378,6.844825517,4.054480822,5.02E-05,0.003771159,TRUE
XM_047163574.1,124629911,112.2738434,4.709296698,1.261218139,3.733927186,0.000188517,0.009727321,TRUE
XM_047163665.1,124629980,75.62423,5.752669845,1.423301896,4.041777688,5.30E-05,0.003895545,TRUE
XM_047163761.1,124630049,560.0388062,40.60935075,6.417094093,6.328308447,2.48E-10,8.89E-08,TRUE
XM_047163818.1,124630092,433.654635,6.204100686,1.07798005,5.755301951,8.65E-09,1.86E-06,TRUE
XM_047164509.1,124630552,13.18329911,6.083356383,1.414327587,4.301235752,1.70E-05,0.001561944,TRUE
XM_047164581.1,124630619,174.7720632,2.491894217,0.667452073,3.733442919,0.00018888,0.009727321,TRUE
XM_047164598.1,124630632,22.29818631,27.69207001,6.843496809,4.046479567,5.20E-05,0.003872328,TRUE
XM_047164599.1,124630634,40.12923358,31.11367057,6.843334537,4.546565772,5.45E-06,0.000573851,TRUE
XM_047164601.1,124630636,10.26038937,23.78351481,6.843897278,3.475141991,0.000510583,0.021970954,TRUE
XM_047164626.1,124630661,535.5018102,8.312215957,1.822360166,4.561236639,5.09E-06,0.000547068,TRUE
XM_047164788.1,124630788,4077.75569,6.35912717,1.201494648,5.292680398,1.21E-07,2.29E-05,TRUE
XM_047164819.1,124630807,441.4945228,7.889415898,1.535774022,5.137094249,2.79E-07,4.74E-05,TRUE
XM_047164822.1,124630809,1991.890723,15.54443215,2.962214713,5.247571044,1.54E-07,2.82E-05,TRUE
XM_047164957.1,124630913,26.33406556,4.024277437,1.001649537,4.017650175,5.88E-05,0.00415417,TRUE
XM_047164969.1,124630926,440.7902821,3.765818923,0.793612753,4.745159284,2.08E-06,0.000258612,TRUE
XM_047165293.1,124631112,19.28539787,-5.305917211,1.109268729,-4.78325682,1.72E-06,0.000225666,TRUE
XM_047165374.1,124631156,2071.977039,5.344606848,1.270385705,4.207074142,2.59E-05,0.002277015,TRUE
XM_047165375.1,124631157,125.4015928,5.009890223,1.335718959,3.750706831,0.000176337,0.009275336,TRUE
XM_047165669.1,124631326,19.31040488,-4.489612839,1.224189001,-3.667418051,0.000245012,0.012103095,TRUE
