transcript_ID,gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,test
XM_047162834.1,LOC124646352,5735.549109,1.138106844,0.628937175,1.80957159,0.070362249,1,FALSE
XM_047162835.1,LOC124646377,0.405316265,-2.83096586,3.106734897,-0.911235092,0.362171518,1,FALSE
XM_047162836.1,LOC124629430,8.710037667,0.229559438,0.998356432,0.229937356,0.818140448,1,FALSE
XM_047162837.1,LOC124629431,319.2151763,0.136508174,0.302608341,0.451105126,0.651913783,1,FALSE
XM_047162838.1,LOC124629429,371.7531846,-0.060760709,0.391398235,-0.155240119,0.876632021,1,FALSE
XM_047162839.1,LOC124629432,345.6489137,0.458272331,0.394763947,1.160876859,0.245691981,1,FALSE
XM_047162840.1,LOC124629432,0.155030061,0,6.91875675,0,1,1,FALSE
XM_047162841.1,LOC124629433,5.895873678,0.577449575,0.700927386,0.823836515,0.410032457,1,FALSE
XM_047162848.1,LOC124629436,0,NA,NA,NA,NA,NA,NA
XM_047162849.1,LOC124629435,1.173930764,2.562759704,1.665462577,1.538767511,0.123861064,1,FALSE
XM_047162850.1,LOC124629449,0.035717656,0,6.91875675,0,1,1,FALSE
XM_047162851.1,LOC124629465,6.32286079,-0.277906871,0.666626649,-0.416885331,0.676762283,1,FALSE
XM_047162852.1,LOC124629482,294.3403232,0.26128841,0.233959144,1.11681213,0.264074661,1,FALSE
XM_047162853.1,LOC124629483,4.883055698,0.165106988,0.834746529,0.197792961,0.843207054,1,FALSE
XM_047162855.1,LOC124629484,1.29514712,0.370061089,1.956878509,0.189107851,0.850008289,1,FALSE
XM_047162856.1,LOC124629481,106.0193965,0.144931047,0.274354235,0.528262474,0.597317173,1,FALSE
XM_047162859.1,LOC124629485,1.127261169,-0.174626231,1.456699529,-0.119878004,0.904579789,1,FALSE
XM_047162860.1,LOC124629485,1.424328226,-0.196152107,1.736978617,-0.112927186,0.910088283,1,FALSE
XM_047162863.1,LOC124629485,0.106071899,0,6.91875675,0,1,1,FALSE
XM_047162864.1,LOC124629485,202.5628572,0.008256307,0.39284074,0.021016931,0.983232149,1,FALSE
XM_047162865.1,LOC124629486,7689.228842,0.117434299,0.205325912,0.57194096,0.567361973,1,FALSE
XM_047162866.1,LOC124629488,10451.73555,0.046930483,0.254198938,0.184621084,0.853526247,1,FALSE
XM_047162867.1,LOC124629489,1.373162107,-0.789403112,1.149988129,-0.686444575,0.492432804,1,FALSE
XM_047162868.1,LOC124629489,1.802600682,-0.326690066,0.782648628,-0.417416009,0.676374148,1,FALSE
XM_047162869.1,LOC124629487,262.388655,-0.016266723,0.353714257,-0.045988315,0.963319563,1,FALSE
XM_047162870.1,LOC124629490,0.091583872,0,6.91875675,0,1,1,FALSE
XM_047162872.1,LOC124629492,7113.681287,-0.065798539,0.101243783,-0.649902017,0.515755515,1,FALSE
XM_047162877.1,LOC124629494,29.36674529,-0.513701158,0.856181253,-0.599991131,0.548512146,1,FALSE
XM_047162881.1,LOC124629496,3.404446617,1.657494206,0.93613992,1.770562467,0.076633488,1,FALSE
XM_047162882.1,LOC124629495,656.952051,-0.016229094,0.282832165,-0.057380653,0.954241974,1,FALSE
XM_047162884.1,LOC124629496,1.480158101,2.457645974,1.594596968,1.541233317,0.123260012,1,FALSE
XM_047162885.1,LOC124629497,580.9896919,-0.137597071,0.144905006,-0.949567408,0.342332106,1,FALSE
XM_047162886.1,LOC124629498,2062.139264,0.264222866,0.328522258,0.804276908,0.421237071,1,FALSE
XM_047162887.1,LOC124629500,88.08417845,-0.090284197,0.34407777,-0.262394741,0.793017127,1,FALSE
XM_047162889.1,LOC124629501,42.62165663,-0.622823733,0.610368117,-1.020406727,0.307535605,1,FALSE
XM_047162892.1,LOC124629502,103.9880311,0.30659151,0.562220496,0.545322542,0.585531703,1,FALSE
XM_047162897.1,LOC124629504,0.076298682,0,6.91875675,0,1,1,FALSE
XM_047162899.1,LOC124629504,0.083911259,0,6.91875675,0,1,1,FALSE
