NAME	TITLE	SCORE	
XM_047184836	na	2.694239	
XR_006985511	na	2.2945035	
XM_047174398	na	2.141504	
XM_047171605	na	1.9888594	
XM_047164479	na	1.8471594	
XM_047170097	na	1.8200885	
XM_047164826	na	1.7962874	
XM_047164793	na	1.7552431	
XR_006985071	na	1.6558889	
XM_047165182	na	1.6475171	
XM_047169788	na	1.6149235	
XM_047184895	na	1.6111566	
XM_047163282	na	1.6081376	
XM_047170323	na	1.5936425	
XM_047183097	na	1.5729122	
XR_006986140	na	1.5710262	
XM_047185574	na	1.5629469	
XM_047173890	na	1.5248896	
XM_047164091	na	1.5245118	
XM_047172484	na	1.4782479	
XM_047169578	na	1.4489957	
XM_047171170	na	1.4194529	
XM_047173045	na	1.4132552	
XM_047165626	na	1.4044182	
XM_047164334	na	1.3907174	
XR_006984638	na	1.3789455	
XM_047173595	na	1.3763455	
XM_047163126	na	1.337452	
XM_047183499	na	1.3230212	
XM_047177315	na	1.3035898	
XM_047176799	na	1.2995921	
XM_047171223	na	1.2946998	
XM_047176687	na	1.2801197	
XM_047177648	na	1.2602574	
XM_047163085	na	1.2438335	
XM_047169522	na	1.2377387	
XM_047173990	na	1.2312442	
XR_006985852	na	1.2293482	
XM_047185349	na	1.2152656	
XM_047185931	na	1.2102334	
XM_047166229	na	1.2093413	
XM_047165239	na	1.2061965	
XM_047164929	na	1.1990236	
XM_047170422	na	1.1623068	
XM_047172572	na	1.1610525	
XM_047175076	na	1.1562375	
XM_047170125	na	1.1555085	
XM_047175353	na	1.1532134	
XM_047166149	na	1.1519275	
XM_047182095	na	1.1516287	
XM_047171892	na	1.1463428	
XM_047163362	na	1.1457375	
XM_047173028	na	1.1457375	
XM_047178441	na	1.1455761	
XM_047165609	na	1.136	
XM_047172138	na	1.1316661	
XM_047168033	na	1.1277556	
XM_047170603	na	1.1270404	
XM_047169197	na	1.1240965	
XM_047170146	na	1.119002	
XM_047174790	na	1.1151328	
XM_047183096	na	1.1140963	
XM_047166955	na	1.1050026	
XR_006986015	na	1.1021601	
XM_047181308	na	1.0983435	
XM_047171144	na	1.0982546	
XM_047183788	na	1.0966977	
XM_047163620	na	1.0934328	
XM_047168562	na	1.0931373	
XM_047169645	na	1.0892382	
XM_047170674	na	1.0892382	
XM_047181756	na	1.0892382	
XR_006985377	na	1.0892382	
XM_047167157	na	1.0872934	
XM_047170721	na	1.0872934	
XM_047181359	na	1.0870024	
XM_047183244	na	1.0819668	
XM_047185620	na	1.0819668	
XR_006984324	na	1.0807868	
XR_006985827	na	1.0807868	
XM_047175419	na	1.0787169	
XM_047163098	na	1.0775949	
XM_047173462	na	1.0775949	
XM_047182717	na	1.0775949	
XM_047176278	na	1.0773255	
XR_006985389	na	1.0663247	
XM_047171264	na	1.0599315	
XM_047174190	na	1.0584458	
XM_047185206	na	1.0575372	
XM_047178580	na	1.0573947	
XM_047173845	na	1.0571215	
unassigned_transcript_524	na	1.056394	
XM_047165061	na	1.0562785	
XM_047166008	na	1.0555223	
XM_047180879	na	1.0528959	
