NAME	TITLE	SCORE	
XM_047163098	na	2.5976045	
XR_006985511	na	2.3822083	
XM_047180908	na	2.2780662	
XM_047179503	na	2.2533846	
XM_047172156	na	2.2201138	
XM_047175327	na	2.1580348	
XM_047173666	na	2.0840755	
XM_047164403	na	2.0074654	
XM_047162881	na	1.9522461	
XM_047177052	na	1.9399791	
XM_047178772	na	1.899941	
XM_047179656	na	1.8914882	
XM_047164091	na	1.8414629	
XM_047164793	na	1.8383486	
XM_047170323	na	1.8226849	
XM_047174228	na	1.8002453	
XM_047183097	na	1.7982866	
XM_047174766	na	1.7856548	
XM_047183451	na	1.7763453	
XM_047186204	na	1.7602501	
XM_047178847	na	1.7584959	
XM_047170674	na	1.7446692	
XM_047173749	na	1.6869806	
XR_006984628	na	1.6785804	
XM_047169788	na	1.6763829	
XM_047178103	na	1.6498629	
XM_047164698	na	1.6372702	
XM_047183096	na	1.6346812	
XM_047165250	na	1.619627	
XM_047172304	na	1.6158315	
XM_047176346	na	1.6005257	
XM_047164535	na	1.5963777	
XM_047181907	na	1.5780737	
XM_047173523	na	1.5647871	
XM_047180879	na	1.5628102	
XM_047176477	na	1.5607697	
XR_006984380	na	1.55923	
XM_047169778	na	1.5586357	
XM_047166476	na	1.556645	
XM_047176362	na	1.5532706	
XM_047174746	na	1.5492613	
XM_047175986	na	1.5216556	
XM_047171140	na	1.5147401	
XM_047175195	na	1.5118093	
XM_047166980	na	1.509878	
XM_047164240	na	1.5095836	
XM_047182410	na	1.5039711	
XM_047167978	na	1.5002952	
XM_047176752	na	1.4915489	
XM_047178262	na	1.4855053	
XM_047172785	na	1.4808202	
XM_047177604	na	1.4799418	
XM_047175989	na	1.4792233	
XM_047184740	na	1.4741026	
XM_047178863	na	1.4709321	
XM_047166261	na	1.4614476	
XM_047164170	na	1.4587864	
XM_047175751	na	1.4509429	
XM_047185985	na	1.447566	
XM_047180846	na	1.4467497	
XM_047168729	na	1.4465382	
XM_047163908	na	1.4422767	
XM_047186008	na	1.437983	
XM_047172248	na	1.4372066	
XR_006985830	na	1.4362109	
XM_047169032	na	1.4256891	
XM_047170135	na	1.4239852	
XM_047164334	na	1.4208604	
XM_047171264	na	1.4200995	
XR_006984627	na	1.4191214	
XM_047169691	na	1.4110173	
XM_047168361	na	1.4070032	
XM_047173767	na	1.4045062	
XM_047173886	na	1.3990602	
XM_047168456	na	1.3927718	
XM_047166168	na	1.392359	
XM_047175219	na	1.3909615	
XM_047183625	na	1.3906403	
XM_047167259	na	1.3864447	
XM_047185646	na	1.3858802	
XM_047185086	na	1.3842298	
XM_047176649	na	1.3842024	
XM_047185021	na	1.3820753	
XM_047177668	na	1.3803246	
XM_047186136	na	1.3764929	
XM_047163512	na	1.3666558	
XM_047180349	na	1.3619294	
XM_047177107	na	1.3607402	
XM_047185349	na	1.3562865	
XM_047180796	na	1.3554763	
XM_047180814	na	1.353808	
XM_047166008	na	1.3417833	
XM_047176595	na	1.3407215	
XM_047175292	na	1.339005	
XM_047165488	na	1.3375682	
XM_047165557	na	1.337353	
XM_047180005	na	1.3366126	
XM_047173960	na	1.3346014	
XM_047175469	na	1.3276893	
XM_047180087	na	1.3222883	
XM_047164092	na	1.3219849	
XM_047166692	na	1.3198142	
XM_047164479	na	1.3181338	
XM_047175893	na	1.3138611	
XM_047175193	na	1.3134929	
XM_047163918	na	1.3101586	
XM_047164326	na	1.3101038	
XM_047166131	na	1.3025833	
XM_047168210	na	1.3000813	
XM_047174428	na	1.2987677	
XM_047165046	na	1.295572	
XM_047167927	na	1.2932086	
XM_047163579	na	1.2922531	
XR_006985303	na	1.2920941	
XM_047165842	na	1.2916853	
XM_047171549	na	1.2912873	
XM_047181798	na	1.2888945	
XM_047179254	na	1.2886493	
XM_047173118	na	1.2854327	
XM_047185362	na	1.2836558	
XM_047180407	na	1.281733	
XM_047163284	na	1.280727	
XM_047170266	na	1.2805514	
XM_047184348	na	1.2776918	
XM_047170503	na	1.2754351	
XM_047167320	na	1.2751081	
XM_047182411	na	1.2680125	
XM_047173187	na	1.2676885	
XM_047176699	na	1.267194	
XM_047174118	na	1.2643915	
XM_047164520	na	1.2630329	
XM_047184527	na	1.2613586	
XM_047168419	na	1.2603421	
XM_047164826	na	1.2602738	
XM_047183306	na	1.2598517	
XM_047169123	na	1.2576622	
XM_047185483	na	1.2554873	
XM_047173389	na	1.2550073	
XR_006985410	na	1.2548058	
XM_047184449	na	1.2547357	
XM_047184057	na	1.2543253	
XR_006985975	na	1.2536051	
XM_047167827	na	1.2505563	
XM_047168928	na	1.248778	
XR_006985907	na	1.2467651	
XR_006985952	na	1.2451987	
XM_047170661	na	1.2398332	
XM_047174444	na	1.2395399	
XM_047169583	na	1.2373937	
XR_006984525	na	1.2350094	
XM_047180635	na	1.234195	
XM_047185986	na	1.2320458	
XM_047165609	na	1.2309382	
XM_047163660	na	1.2300345	
XM_047178235	na	1.2294594	
XR_006985245	na	1.2288336	
XR_006985407	na	1.2268363	
XM_047180818	na	1.2265772	
XM_047166229	na	1.2264246	
XM_047174578	na	1.2241063	
XM_047175909	na	1.2221531	
XM_047164476	na	1.2212303	
XM_047175399	na	1.2191596	
XM_047173339	na	1.2177626	
XM_047169473	na	1.2155224	
XM_047180274	na	1.2144014	
XM_047165309	na	1.213777	
XM_047180344	na	1.2134112	
XM_047175419	na	1.2122827	
XM_047170121	na	1.2104542	
XM_047163339	na	1.2098074	
XM_047164192	na	1.2079731	
XM_047175873	na	1.2079041	
XM_047185702	na	1.2067262	
XM_047169732	na	1.2065682	
XM_047172995	na	1.2057143	
XM_047170858	na	1.2043406	
XM_047167288	na	1.2036691	
XM_047168555	na	1.2024142	
XM_047185164	na	1.2023674	
XM_047177989	na	1.2021066	
XR_006985678	na	1.2018545	
XM_047164169	na	1.200801	
XM_047185217	na	1.2003473	
XM_047176481	na	1.2003016	
XM_047186432	na	1.1969284	
XM_047178231	na	1.1938953	
XM_047173307	na	1.1899891	
XM_047178840	na	1.1892864	
XM_047179513	na	1.1888677	
XM_047174759	na	1.1886188	
XM_047164652	na	1.1869344	
XM_047170794	na	1.184112	
XM_047180111	na	1.1831852	
